route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"0001","1","1","Cesson-Sévigné (Champs Blancs) <> Chantepie (Rosa Parks)","Majeure","3","","95C11E","1A171B"
"0002","1","C2","Saint-Grégoire (Champ Daguet) <> La Poterie / Haut Sancé","Chronostar","3","","008BD2","FFFFFF"
"0003","1","C3","Saint-Laurent <> Henri Fréville","Chronostar","3","","00893E","FFFFFF"
"0004","1","C4","Grand Quartier <> ZA Saint-Sulpice","Chronostar","3","","6F2282","FFFFFF"
"0005","1","5","Patton <> Lycée Bréquigny","Majeure","3","","F39200","000000"
"0006","1","6","Cesson-Sévigné (Rigourdière) <> Saint-Jacques-de-la-Lande (Morinais)","Majeure","3","","61C3D9","1A171B"
"0009","1","9","Saint-Laurent <> Cleunay","Majeure","3","","004F9E","FFFFFF"
"0011","1","11","ZI Ouest / Stade Rennais <> Saint-Saëns / La Poterie","Urbaine","3","","EF859D","1A171B"
"0012","1","12","Grand Quartier <> La Poterie","Urbaine","3","","BA65A5","FFFFFF"
"0014","1","14","Stade Rennais <> Beaulieu Atalante","Urbaine","3","","A96F23","FFFFFF"
"0031","1","31","Villejean-Churchill <> Cesson-Sévigné (Base de Loisirs)","Inter-quartiers","3","","FFF164","E2001A"
"0032","1","32","Triangle <> Beaulieu Atalante","Inter-quartiers","3","","FFF164","E2001A"
"0033","1","33","Saint-Jacques-de-la-Lande (Gautrais) / Bréquigny <> La Poterie / Chantepie (Cucé)","Inter-quartiers","3","","FFF164","E2001A"
"0034","1","34","Chantepie (Rosa Parks) <> ZAC Saint-Sulpice","Inter-quartiers","3","","FFF164","E2001A"
"0035","1","35","Cesson-Sévigné (Champs Blancs) <> Cesson-Sévigné (Gare)","Inter-quartiers","3","","FFF164","E2001A"
"0036","1","36","Place Hoche <> Saint-Grégoire (Edonia)","Inter-quartiers","3","","FFF164","E2001A"
"0037","1","37","Henri Fréville <> Saint-Jacques-de-la-Lande (Morinais)","Inter-quartiers","3","","FFF164","E2001A"
"0040","1","40","République <> Beaulieu Atalante","Express urbaine","3","","FFDD00","3D3C3F"
"0041","1","41","Gares <> Cesson-Sévigné (Champs Blancs)","Express urbaine","3","","FFDD00","3D3C3F"
"0044","1","44","République <> Joliot-Curie","Express urbaine","3","","FFDD00","3D3C3F"
"0050","1","50","Thorigné-Fouillard (Landelles) <> Rennes (République)","Métropolitaine","3","","8CA5D6","1A171B"
"0051","1","51","Betton (Champ Devant) <> Rennes (Place Hoche)","Métropolitaine","3","","6F2282","FFFFFF"
"0052","1","52","La Chapelle-des-Fougeretz (Besneraie) <> Montgermont <> Rennes <> Pacé <> Saint-Gilles (Ile des Bois)","Métropolitaine","3","","00893E","FFFFFF"
"0053","1","53","Rennes (République) <> Vezin-le-Coquet <> L'Hermitage <> La Chapelle-Thouarault (Ville aux Archers)","Métropolitaine","3","","E4003A","FFFFFF"
"0054","1","54","Rennes (Charles de Gaulle) <> Le Rheu <> Cintré (Chêne Vert)","Métropolitaine","3","","BA65A5","FFFFFF"
"0055","1","55","Rennes (Charles de Gaulle) <> Mordelles <> Le Verger (Le Verger Eglise)","Métropolitaine","3","","F39200","1A171B"
"0056","1","56","Rennes (Charles de Gaulle) <> Chavagne (Croix Blanche)","Métropolitaine","3","","00893E","FFFFFF"
"0057","1","57","Rennes (République) <> Saint-Jacques-de-la-Lande <> Bruz (Bruz Centre)","Métropolitaine","3","","A96F23","FFFFFF"
"0059","1","59","Bruz (Bruz Gare) <> Rennes <> Vern-sur-Seiche (Croix Malinge)","Métropolitaine","3","","EF859D","1A171B"
"0061","1","61","Rennes (Henri Fréville) <> Noyal-Châtillon-sur-Seiche <> Saint-Erblon (Parc d'Activités)","Métropolitaine","3","","E4003A","FFFFFF"
"0064","1","64","Acigné (Timonière) <> Rennes (République)","Métropolitaine","3","","008BD2","FFFFFF"
"0065","1","65","Rennes (Villejean-Université) <> Pacé <> Parthenay-de-Bretagne (Parthenay Fontaine)","Métropolitaine","3","","BA65A5","FFFFFF"
"0067","1","67","Brécé (Anjou) <> Cesson-Sévigné <> Rennes (République)","Métropolitaine","3","","E4003A","FFFFFF"
