stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"1001","1001","Longs Champs","Rennes","48.1290767155","-1.6325301975","","","","","","1"
"1002","1002","Bouzat","Rennes","48.1282833144","-1.6377822695","","","","","","1"
"1003","1003","Gallet","Rennes","48.1273693539","-1.6404331902","","","","","","1"
"1004","1004","Donzelot","Rennes","48.1252440547","-1.6426764031","","","","","","1"
"1005","1005","Mirabeau","Rennes","48.1233634812","-1.6463170756","","","","","","1"
"1006","1006","Turmel","Rennes","48.1222899582","-1.6507418227","","","","","","1"
"1007","1007","Assomption","Rennes","48.1214464566","-1.6550359885","","","","","","1"
"1008","1008","Painlevé","Rennes","48.1232118927","-1.6602163450","","","","","","1"
"1009","1009","Metz Volney","Rennes","48.1216352916","-1.6631855869","","","","","","1"
"1010","1010","Guéhenno","Rennes","48.1192414043","-1.6676930498","","","","","","1"
"1011","1011","Fac de Droit","Rennes","48.1183124679","-1.6713154689","","","","","","1"
"1012","1012","Sévigné","Rennes","48.1160496343","-1.6742454900","","","","","","1"
"1014","1014","Sainte-Anne","Rennes","48.1137390555","-1.6790382347","","","","","","1"
"1015","1015","Champ Jacquet","Rennes","48.1125199053","-1.6803515711","","","","","","2"
"1016","1016","République","Rennes","48.1100725485","-1.6801005838","","","","","","1"
"1017","1017","Les Halles","Rennes","48.1084145571","-1.6802125820","","","","","","2"
"1018","1018","Plélo Colombier","Rennes","48.1062043382","-1.6809991608","","","","","","1"
"1019","1019","Cité Judiciaire","Rennes","48.1050837307","-1.6847307293","","","","","","1"
"1020","1020","Mermoz","Rennes","48.0974422088","-1.6895658422","","","","","","1"
"1021","1021","Cité Judiciaire","Rennes","48.1054443991","-1.6840050654","","","","","","1"
"1022","1022","Plélo Colombier","Rennes","48.1062219846","-1.6807363057","","","","","","1"
"1023","1023","Les Halles","Rennes","48.1080663188","-1.6800481110","","","","","","1"
"1024","1024","République","Rennes","48.1099770993","-1.6802681570","","","","","","1"
"1025","1025","Champ Jacquet","Rennes","48.1127382033","-1.6802106726","","","","","","2"
"1026","1026","Sainte-Anne","Rennes","48.1148204177","-1.6792415762","","","","","","1"
"1027","1027","Hôtel Dieu","Rennes","48.1171630273","-1.6773513757","","","","","","1"
"1028","1028","Sévigné","Rennes","48.1175131249","-1.6735384770","","","","","","1"
"1029","1029","Fac de Droit","Rennes","48.1182805333","-1.6695914221","","","","","","1"
"1030","1030","Guéhenno","Rennes","48.1195717737","-1.6666285911","","","","","","1"
"1031","1031","Metz Volney","Rennes","48.1219870537","-1.6621850847","","","","","","1"
"1032","1032","Painlevé","Rennes","48.1232416352","-1.6592660197","","","","","","1"
"1033","1033","Assomption","Rennes","48.1212797176","-1.6550291405","","","","","","1"
"1034","1034","Turmel","Rennes","48.1221847250","-1.6506189591","","","","","","1"
"1035","1035","Mirabeau","Rennes","48.1236769024","-1.6451575981","","","","","","1"
"1036","1036","Donzelot","Rennes","48.1255558440","-1.6419798334","","","","","","1"
"1037","1037","Gallet","Rennes","48.1278005547","-1.6398714075","","","","","","1"
"1038","1038","Bouzat","Rennes","48.1282089797","-1.6371184872","","","","","","1"
"1039","1039","Longs Champs","Rennes","48.1289983176","-1.6323803732","","","","","","1"
"1040","1040","Donelière","Rennes","48.1300692185","-1.6843767784","","","","","","1"
"1041","1041","Trois Croix","Rennes","48.1287493813","-1.6835995016","","","","","","1"
"1042","1042","Cimetière Nord","Rennes","48.1242546977","-1.6817655194","","","","","","1"
"1043","1043","Saint-Martin","Rennes","48.1236135078","-1.6842376615","","","","","","1"
"1044","1044","ESPE de Bretagne","Rennes","48.1221788501","-1.6859244933","","","","","","1"
"1046","1046","Anatole France","Rennes","48.1182396567","-1.6894028800","","","","","","1"
"1047","1047","La Touche","Rennes","48.1161195880","-1.6912876855","","","","","","1"
"1048","1048","Brest Verdun","Rennes","48.1133571706","-1.6934762844","","","","","","1"
"1049","1049","Horizons","Rennes","48.1116315514","-1.6893705616","","","","","","1"
"1050","1050","Les Lices","Rennes","48.1116465570","-1.6869985036","","","","","","1"
"1051","1051","Place de Bretagne","Rennes","48.1098881726","-1.6832798287","","","","","","1"
"1052","1052","République","Rennes","48.1099343588","-1.6788694763","","","","","","1"
"1054","1054","Liberté TNB","Rennes","48.1075638917","-1.6751758770","","","","","","2"
"1055","1055","Champs Libres","Rennes","48.1060570343","-1.6740101605","","","","","","1"
"1056","1056","Gares","Rennes","48.1039561786","-1.6731847031","","","","","","1"
"1057","1057","Laënnec","Rennes","48.1046782924","-1.6677219845","","","","","","2"
"1060","1060","Piré","Rennes","48.0994515955","-1.6575217506","","","","","","1"
"1061","1061","Bourgeois","Rennes","48.0972552425","-1.6542535569","","","","","","1"
"1062","1062","Calmette","Rennes","48.0951103631","-1.6505658098","","","","","","2"
"1063","1063","Monsieur Vincent","Rennes","48.0927302456","-1.6474904207","","","","","","1"
"1064","1064","Lycée Descartes","Rennes","48.0902810860","-1.6450184343","","","","","","1"
"1065","1065","La Poterie","Rennes","48.0876207666","-1.6439301485","","","","","","1"
"1066","1066","Monnet","Rennes","48.0877881813","-1.6385959882","","","","","","1"
"1067","1067","Bourgueil","Rennes","48.0894553683","-1.6352813289","","","","","","1"
"1068","1068","Gohier","Rennes","48.0920669400","-1.6364712409","","","","","","1"
"1069","1069","Ronceray","Rennes","48.0927557649","-1.6396197151","","","","","","1"
"1070","1070","CARSAT","Rennes","48.0944923840","-1.6378886716","","","","","","1"
"1071","1071","Haut Sancé","Rennes","48.0962245899","-1.6368990622","","","","","","1"
"1072","1072","CARSAT","Rennes","48.0949219781","-1.6380002675","","","","","","1"
"1073","1073","Ronceray","Rennes","48.0925278601","-1.6396580245","","","","","","1"
"1074","1074","Gohier","Rennes","48.0918271864","-1.6362741941","","","","","","1"
"1075","1075","Bourgueil","Rennes","48.0894857125","-1.6355676664","","","","","","1"
"1076","1076","Monnet","Rennes","48.0879862627","-1.6384206235","","","","","","1"
"1077","1077","La Poterie","Rennes","48.0874128284","-1.6434360252","","","","","","1"
"1078","1078","Lycée Descartes","Rennes","48.0899719643","-1.6446596907","","","","","","1"
"1079","1079","Monsieur Vincent","Rennes","48.0927718433","-1.6472053098","","","","","","1"
"1080","1080","Calmette","Rennes","48.0959531339","-1.6515427544","","","","","","2"
"1081","1081","Bourgeois","Rennes","48.0980603152","-1.6552748665","","","","","","1"
"1082","1082","Piré","Rennes","48.0998707150","-1.6577754299","","","","","","1"
"1085","1085","Laënnec","Rennes","48.1047096868","-1.6665565591","","","","","","1"
"1087","1087","Champs Libres","Rennes","48.1052757876","-1.6739390850","","","","","","1"
"1088","1088","Liberté TNB","Rennes","48.1073766566","-1.6749806095","","","","","","2"
"1090","1090","République","Rennes","48.1095258562","-1.6779468241","","","","","","1"
"1091","1091","Place de Bretagne","Rennes","48.1097337882","-1.6838502085","","","","","","1"
"1092","1092","Les Lices","Rennes","48.1117586771","-1.6862162068","","","","","","1"
"1093","1093","Horizons","Rennes","48.1117572299","-1.6896528297","","","","","","1"
"1094","1094","Brest Verdun","Rennes","48.1132077428","-1.6932900465","","","","","","1"
"1095","1095","La Touche","Rennes","48.1165048911","-1.6907435362","","","","","","1"
"1096","1096","Anatole France","Rennes","48.1181929565","-1.6892476856","","","","","","1"
"1097","1097","ESPE de Bretagne","Rennes","48.1210168077","-1.6867585080","","","","","","1"
"1099","1099","Saint-Martin","Rennes","48.1235867179","-1.6836057045","","","","","","1"
"1100","1100","Cimetière Nord","Rennes","48.1250300156","-1.6819729999","","","","","","1"
"1101","1101","Trois Croix","Rennes","48.1272663384","-1.6832604536","","","","","","1"
"1102","1102","Donelière","Rennes","48.1313573244","-1.6845992017","","","","","","2"
"1103","1103","Saint-Laurent","Rennes","48.1388019033","-1.6590721966","","","","","","1"
"1104","1104","Hôtel de Région","Rennes","48.1347453102","-1.6585722406","","","","","","1"
"1105","1105","Héronière","Rennes","48.1354997895","-1.6557113779","","","","","","1"
"1106","1106","Gayeulles Piscine","Rennes","48.1342636899","-1.6522149999","","","","","","1"
"1107","1107","Le Blizz","Rennes","48.1308704224","-1.6521213708","","","","","","1"
"1108","1108","Gayeulles","Rennes","48.1283438973","-1.6522319267","","","","","","1"
"1111","1111","Docteur Quentin","Rennes","48.1201893333","-1.6507704639","","","","","","1"
"1112","1112","Vitré Danton","Rennes","48.1189296649","-1.6510629647","","","","","","1"
"1113","1113","Jeanne d'Arc","Rennes","48.1163692535","-1.6556807840","","","","","","1"
"1114","1114","Durafour","Rennes","48.1145214201","-1.6580165901","","","","","","1"
"1115","1115","Oberthur","Rennes","48.1134585527","-1.6614093054","","","","","","1"
"1116","1116","Saint-Vincent","Rennes","48.1127464948","-1.6644519840","","","","","","1"
"1117","1117","Châteaudun","Rennes","48.1125279360","-1.6667971262","","","","","","1"
"1118","1118","Thabor","Rennes","48.1118164055","-1.6712444860","","","","","","1"
"1120","1120","République","Rennes","48.1099699315","-1.6779499627","","","","","","1"
"1121","1121","Charles de Gaulle","Rennes","48.1060666546","-1.6778168794","","","","","","1"
"1122","1122","Gare Sud Féval","Rennes","48.1030055107","-1.6768816413","","","","","","1"
"1123","1123","Ginguené","Rennes","48.0991813122","-1.6757559578","","","","","","1"
"1124","1124","Jacques Cartier","Rennes","48.0973964444","-1.6754892849","","","","","","1"
"1125","1125","Sacrés Coeurs","Rennes","48.0969262433","-1.6791662186","","","","","","1"
"1126","1126","Garigliano","Rennes","48.0960232099","-1.6817121367","","","","","","1"
"1127","1127","Frères Moine","Rennes","48.0930420255","-1.6819318327","","","","","","1"
"1128","1128","Champs Manceaux","Rennes","48.0910699895","-1.6821871214","","","","","","1"
"1129","1129","Suède","Rennes","48.0872709628","-1.6824789540","","","","","","1"
"1130","1130","Canada","Rennes","48.0851676714","-1.6825367827","","","","","","1"
"1134","1134","Canada","Rennes","48.0852073306","-1.6822594548","","","","","","1"
"1135","1135","Suède","Rennes","48.0880850549","-1.6821499740","","","","","","1"
"1136","1136","Champs Manceaux","Rennes","48.0910862259","-1.6820188190","","","","","","1"
"1137","1137","Frères Moine","Rennes","48.0935972558","-1.6818093089","","","","","","1"
"1138","1138","Garigliano","Rennes","48.0963632534","-1.6815434804","","","","","","1"
"1139","1139","Sacrés Coeurs","Rennes","48.0969143331","-1.6784837303","","","","","","1"
"1140","1140","Jacques Cartier","Rennes","48.0974205651","-1.6744161326","","","","","","1"
"1141","1141","Ginguené","Rennes","48.1000091866","-1.6758032841","","","","","","1"
"1143","1143","Charles de Gaulle","Rennes","48.1060811991","-1.6775576636","","","","","","1"
"1144","1144","République","Rennes","48.1100726122","-1.6777349811","","","","","","1"
"1146","1146","Thabor","Rennes","48.1118973826","-1.6710831529","","","","","","2"
"1147","1147","Saint-Vincent","Rennes","48.1126655732","-1.6643455984","","","","","","1"
"1148","1148","Oberthur","Rennes","48.1134047596","-1.6612648829","","","","","","1"
"1149","1149","Durafour","Rennes","48.1142478278","-1.6586657942","","","","","","2"
"1150","1150","Jeanne d'Arc","Rennes","48.1165879424","-1.6553902363","","","","","","1"
"1151","1151","Vitré Danton","Rennes","48.1187327284","-1.6515888381","","","","","","1"
"1152","1152","Docteur Quentin","Rennes","48.1206151157","-1.6506747144","","","","","","1"
"1155","1155","Gayeulles","Rennes","48.1291451032","-1.6520009172","","","","","","1"
"1156","1156","Le Blizz","Rennes","48.1317819213","-1.6519052213","","","","","","1"
"1157","1157","Gayeulles Piscine","Rennes","48.1349350081","-1.6519549977","","","","","","1"
"1158","1158","Héronière","Rennes","48.1356052742","-1.6561258030","","","","","","1"
